date,Team_1,Team_2,Winner,Margin,Ground
29-Oct-17,India,New Zealand,India,6 runs,Kanpur
10-Dec-17,Sri Lanka,India,Sri Lanka,7 wickets,Dharamsala
13-Dec-17,India,Sri Lanka,India,141 runs,Mohali
17-Dec-17,India,Sri Lanka,India,8 wickets,Visakhapatnam
20-Dec-17,New Zealand,West Indies,New Zealand,5 wickets,Whangarei
23-Dec-17,New Zealand,West Indies,New Zealand,204 runs,Christchurch
26-Dec-17,New Zealand,West Indies,New Zealand,66 runs,Christchurch
6-Jan-18,New Zealand,Pakistan,New Zealand,61 runs,Wellington
9-Jan-18,New Zealand,Pakistan,New Zealand,8 wickets,Nelson
13-Jan-18,New Zealand,Pakistan,New Zealand,183 runs,Dunedin
14-Jan-18,England,Australia,England,5 wickets,Melbourne
16-Jan-18,New Zealand,Pakistan,New Zealand,5 wickets,Hamilton
19-Jan-18,New Zealand,Pakistan,New Zealand,15 runs,Wellington
19-Jan-18,England,Australia,England,4 wickets,Brisbane
19-Jan-18,Bangladesh,Sri Lanka,Bangladesh,163 runs,Dhaka
21-Jan-18,England,Australia,England,16 runs,Sydney
25-Jan-18,Sri Lanka,Bangladesh,Sri Lanka,10 wickets,Dhaka
26-Jan-18,Australia,England,Australia,3 wickets,Adelaide
27-Jan-18,Sri Lanka,Bangladesh,Sri Lanka,79 runs,Dhaka
28-Jan-18,England,Australia,England,12 runs,Perth
1-Feb-18,India,South Africa,India,6 wickets,Durban
4-Feb-18,India,South Africa,India,9 wickets,Centurion
7-Feb-18,India,South Africa,India,124 runs,Cape Town
10-Feb-18,South Africa,India,South Africa,5 wickets,Johannesburg
13-Feb-18,India,South Africa,India,73 runs,Port Elizabeth
16-Feb-18,India,South Africa,India,8 wickets,Centurion
25-Feb-18,New Zealand,England,New Zealand,3 wickets,Hamilton
28-Feb-18,England,New Zealand,England,6 wickets,Mount Maunganui
3-Mar-18,England,New Zealand,England,4 runs,Wellington
7-Mar-18,New Zealand,England,New Zealand,5 wickets,Dunedin
10-Mar-18,England,New Zealand,England,7 wickets,Christchurch
15-Mar-18,Afghanistan,West Indies,Afghanistan,3 wickets,Harare
25-Mar-18,Afghanistan,West Indies,Afghanistan,7 wickets,Harare
13-Jun-18,England,Australia,England,3 wickets,The Oval
16-Jun-18,England,Australia,England,38 runs,Cardiff
19-Jun-18,England,Australia,England,242 runs,Nottingham
21-Jun-18,England,Australia,England,6 wickets,Chester-le-Street
24-Jun-18,England,Australia,England,1 wickets,Manchester
12-Jul-18,India,England,India,8 wickets,Nottingham
14-Jul-18,England,India,England,86 runs,Lord's
17-Jul-18,England,India,England,8 wickets,Leeds
22-Jul-18,Bangladesh,West Indies,Bangladesh,48 runs,Providence
25-Jul-18,West Indies,Bangladesh,West Indies,3 runs,Providence
28-Jul-18,Bangladesh,West Indies,Bangladesh,18 runs,Basseterre
29-Jul-18,South Africa,Sri Lanka,South Africa,5 wickets,Dambulla
1-Aug-18,South Africa,Sri Lanka,South Africa,4 wickets,Dambulla
5-Aug-18,South Africa,Sri Lanka,South Africa,78 runs,Pallekele
